parameter,base_value,low_value,high_value,low_result,high_result,base_result,swing
growth_rate,0.06,0.03,0.18,343.46571247269,955.3989454062822,419.56434688640235,611.9332329335923
wacc_rate,0.0895192946530206,0.07,0.11,603.8783677074293,317.98477785356494,419.56434688640235,285.8935898538644
operating_margin,0.35,0.28,0.42,339.1694959759759,499.9591977968288,419.56434688640235,160.78970182085288
capex_to_revenue,0.06,0.04,0.1,449.3097473760222,360.0735459071626,419.56434688640235,89.23620146885958
terminal_growth,0.025,0.015,0.035,386.27814535944896,465.0613452473199,419.56434688640235,78.78319988787092
tax_rate,0.15,0.1,0.2,445.38224497109877,393.7464488017059,419.56434688640235,51.63579616939285
nwc_to_revenue,0.15,0.1,0.2,423.7736016726693,415.3550921001354,419.56434688640235,8.418509572533935
