parameter,base_value,low_value,high_value,low_result,high_result,base_result,swing
growth_rate,0.06,0.03,0.18,364.0732830558894,1025.164741869757,446.31508243116605,661.0914588138677
wacc_rate,0.08455424645821204,0.07,0.11,593.4297459678548,311.21341618308173,446.31508243116605,282.2163297847731
operating_margin,0.38,0.28,0.42,323.36323667887007,495.49582073208444,446.31508243116605,172.13258405321437
capex_to_revenue,0.07,0.04,0.1,494.8753882201099,397.75477664222217,446.31508243116605,97.12061157788776
terminal_growth,0.025,0.015,0.035,406.54197802391025,502.1405364350587,446.31508243116605,95.59855841114847
tax_rate,0.17,0.1,0.2,488.7877814387449,428.11249714220384,446.31508243116605,60.675284296541065
nwc_to_revenue,0.17,0.1,0.2,452.7287077240454,443.5663858770749,446.31508243116605,9.162321846970542
